time: 49306080
x[6]: = -46 , y[6]: = 316 , z[6]: = 113 , avg[6]: = 338.734409
x[7]: = -41 , y[7]: = 308 , z[7]: = 113 , avg[7]: = 330.626678
x[8]: = -44 , y[8]: = 288 , z[8]: = 108 , avg[8]: = 310.715304
x[9]: = -37 , y[9]: = 266 , z[9]: = 99  , avg[9]: = 286.227182
time: 49311824
x[0]: = -13 , y[0]: = 154 , z[0]: = 71  , avg[0]: = 170.076453
x[1]: = -10 , y[1]: = 117 , z[1]: = 33  , avg[1]: = 121.975407
x[2]: = -9  , y[2]: = 51  , z[2]: = -22 , avg[2]: = 56.267220
x[3]: = -6  , y[3]: = 20  , z[3]: = -45 , avg[3]: = 49.608467
x[4]: = -8  , y[4]: = 31  , z[4]: = -35 , avg[4]: = 47.434165
x[5]: = -4  , y[5]: = 72  , z[5]: = -1  , avg[5]: = 72.117959
x[6]: = -8  , y[6]: = 124 , z[6]: = 37  , avg[6]: = 129.649528
x[7]: = -16 , y[7]: = 178 , z[7]: = 61  , avg[7]: = 188.841203
x[8]: = -1  , y[8]: = 196 , z[8]: = 107 , avg[8]: = 223.306964
x[9]: = -17 , y[9]: = 234 , z[9]: = 110 , avg[9]: = 259.123523
time: 49312224
x[0]: = -26 , y[0]: = 258 , z[0]: = 124 , avg[0]: = 287.429991
x[1]: = -33 , y[1]: = 264 , z[1]: = 115 , avg[1]: = 289.844786
x[2]: = -44 , y[2]: = 257 , z[2]: = 85  , avg[2]: = 274.244417
x[3]: = 21  , y[3]: = -28 , z[3]: = 155 , avg[3]: = 158.902486
x[4]: = -49 , y[4]: = 137 , z[4]: = 52  , avg[4]: = 154.512135
x[5]: = -24 , y[5]: = 170 , z[5]: = 100 , avg[5]: = 198.685681
x[6]: = -38 , y[6]: = 207 , z[6]: = 60  , avg[6]: = 218.844694
x[7]: = -37 , y[7]: = 212 , z[7]: = 78  , avg[7]: = 228.903910
x[8]: = -36 , y[8]: = 226 , z[8]: = 66  , avg[8]: = 238.176405
x[9]: = -34 , y[9]: = 227 , z[9]: = 67  , avg[9]: = 239.110853
time: 49312624
x[0]: = -34 , y[0]: = 229 , z[0]: = 68  , avg[0]: = 241.290282
x[1]: = -33 , y[1]: = 228 , z[1]: = 68  , avg[1]: = 240.201998
x[2]: = -34 , y[2]: = 228 , z[2]: = 65  , avg[2]: = 239.509916
x[3]: = -36 , y[3]: = 228 , z[3]: = 65  , avg[3]: = 239.802002
x[4]: = -36 , y[4]: = 230 , z[4]: = 63  , avg[4]: = 241.174211
